Date,Consumer Confidence Index,Exchange Rate,Online Visibility,TV Ad Reach,Weather Index
01/01/2013,1,0.960528375,0.995408376,0,average
02/01/2013,1.01272878,0.994327257,1.00972299,0,average
03/01/2013,1.016981784,1.003422241,0.997614679,0,average
04/01/2013,1.007051345,1.013928411,0.954989807,0,average
05/01/2013,0.997197448,1.013711874,1.000835045,0,average
06/01/2013,1.004315629,1.031574815,1.03210811,0,average
07/01/2013,0.986194147,1.031865135,0.955518209,0,average
08/01/2013,1.00600353,1.052003283,1.030629913,0,average
09/01/2013,1.002690988,1.056310097,1.000377328,0,average
10/01/2013,0.982606073,1.054771741,1.021650365,0,average
11/01/2013,0.992448668,1.065867092,1.009948197,0,average
12/01/2013,0.992408086,1.07420648,0.967799097,0,average
13/01/2013,1.004145155,1.064332602,1.001867524,0,average
14/01/2013,1.003383048,1.075106532,1.014431927,0,average
15/01/2013,1.001356615,1.083791808,1.026578722,0,average
16/01/2013,1.007303426,1.066979217,0.948618849,0,average
17/01/2013,1.01930045,1.077620783,0.947522181,0,average
18/01/2013,1.004137314,1.093511429,1.019505139,0,average
19/01/2013,1.000223326,1.080891535,0.967327532,0,average
20/01/2013,0.99276098,1.065283989,0.968252162,0,average
21/01/2013,0.991381353,1.104771545,1.037241351,0,average
22/01/2013,0.992863193,1.098929962,0.980975531,1.465402546,average
23/01/2013,0.983388208,1.096989122,0.971979238,0.586456968,average
24/01/2013,0.981578755,1.094654812,0.96385749,1.65355687,average
25/01/2013,0.966548065,1.087603134,1.010247798,2.055573083,average
26/01/2013,0.956334527,1.069401054,0.966703857,1.165137969,average
27/01/2013,0.938554447,1.068556529,1.022297008,1.111835381,average
28/01/2013,0.932590309,1.094073557,0.94304808,0.489662429,average
29/01/2013,0.947821873,1.064217903,1.054405633,0.472141937,average
30/01/2013,0.94588873,1.061426106,1.007987527,1.175704278,average
31/01/2013,0.947636261,1.063178022,0.948070272,1.702629994,average
01/02/2013,0.938293024,1.065098249,0.952657473,0.234665656,average
02/02/2013,0.929389884,1.067827159,0.910719775,1.550194774,average
03/02/2013,0.921474435,1.060222645,0.951179314,0.158208269,average
04/02/2013,0.926840832,1.101580606,0.981933384,1.419955029,average
05/02/2013,0.919004331,1.090676474,0.998139418,0.529382432,average
06/02/2013,0.915847058,1.09001314,0.938548326,0.853939459,average
07/02/2013,0.916162952,1.087875245,0.957495643,1.254822405,better than average
08/02/2013,0.933573298,1.06402103,0.977188216,1.679956722,better than average
09/02/2013,0.94259377,1.04590934,0.971845456,0.22636907,better than average
10/02/2013,0.94612404,1.055330669,0.904844915,2.181753351,better than average
11/02/2013,0.932590322,1.082951001,0.921041506,1.531184156,better than average
12/02/2013,0.931353196,1.060504411,0.964198002,1.135563531,better than average
13/02/2013,0.930192755,1.078025389,0.93057516,0.975511098,better than average
14/02/2013,0.944448499,1.079181722,0.885410527,0.715978336,better than average
15/02/2013,0.936295429,1.044962332,0.950714468,0.869472085,better than average
16/02/2013,0.942300854,1.052452603,0.946968602,0.865389276,better than average
17/02/2013,0.952196588,1.050899978,0.968303396,0.622285023,better than average
18/02/2013,0.95187215,1.040339869,0.947999083,1.755493604,better than average
19/02/2013,0.95141874,1.072406405,0.930674779,-0.150472843,better than average
20/02/2013,0.942200785,1.065476773,0.883542921,0,better than average
21/02/2013,0.951895696,1.067987073,1.022916386,0,better than average
22/02/2013,0.931452351,1.094540788,0.905049994,0,average
23/02/2013,0.932663488,1.079349567,0.977160132,0,average
24/02/2013,0.937829725,1.073232903,0.908903887,0,average
25/02/2013,0.924515226,1.08638827,0.940232442,0,average
26/02/2013,0.919883931,1.067462992,0.909111294,0,average
27/02/2013,0.912635076,1.089079379,0.938114966,0,average
28/02/2013,0.910573456,1.063836351,0.9222696,0,average
01/03/2013,0.915342553,1.08344787,0.921548807,0,average
02/03/2013,0.918618682,1.087981728,0.943547507,0,average
03/03/2013,0.925854459,1.088611992,0.947261776,0,average
04/03/2013,0.925261754,1.109694326,0.980400892,0,average
05/03/2013,0.941122856,1.086552227,0.939307602,0,average
06/03/2013,0.963428784,1.09880591,0.924176987,0,average
07/03/2013,0.9493142,1.109843548,0.945703108,0,average
08/03/2013,0.949329256,1.072507504,0.973894854,0,average
09/03/2013,0.943741133,1.095678141,0.942413996,0,average
10/03/2013,0.941756911,1.073541391,0.948943768,0,average
11/03/2013,0.926080334,1.104048459,0.921366848,0,average
12/03/2013,0.926803429,1.089778309,0.94222872,0,average
13/03/2013,0.935734266,1.08328814,0.938892648,0,average
14/03/2013,0.932044358,1.121467417,0.921124627,0,average
15/03/2013,0.923684237,1.113641781,0.982220839,0,average
16/03/2013,0.898109814,1.097685014,0.974687957,0,average
17/03/2013,0.885759531,1.105793528,0.995224154,0,average
18/03/2013,0.887760209,1.051927502,0.98110789,0,average
19/03/2013,0.890502284,1.069346768,0.933610543,0,average
20/03/2013,0.89190204,1.076586132,0.975250961,0,average
21/03/2013,0.890600875,1.095431299,0.944939117,0,average
22/03/2013,0.898922033,1.086601529,1.001441104,0,average
23/03/2013,0.896440945,1.096889953,0.9470736,0,average
24/03/2013,0.899111697,1.105992128,1.004293612,0,average
25/03/2013,0.925854784,1.089403993,0.98175071,0,average
26/03/2013,0.934762276,1.110435695,0.996963288,0,average
27/03/2013,0.928712137,1.109979916,1.002531834,0,average
28/03/2013,0.934289925,1.124873874,0.992370325,0,average
29/03/2013,0.928940895,1.135380964,0.991113474,0,average
30/03/2013,0.922971654,1.126293831,0.983941081,0,average
31/03/2013,0.911669188,1.142847795,0.97092799,0,average
01/04/2013,0.910759601,1.14282596,0.995509503,0,average
02/04/2013,0.922476723,1.166459284,1.021089858,0,average
03/04/2013,0.917544569,1.131814242,0.954468037,0,average
04/04/2013,0.916453228,1.103082465,1.005745842,0,average
05/04/2013,0.91370313,1.125277514,0.973086236,0,average
06/04/2013,0.914522272,1.123069112,1.028470657,0,average
07/04/2013,0.913503361,1.101755285,0.973497258,0,worse than average
08/04/2013,0.91071829,1.098038185,1.006878841,0,worse than average
09/04/2013,0.904752336,1.118952213,1.005303713,0,worse than average
10/04/2013,0.910239723,1.100945569,1.025836306,0,worse than average
11/04/2013,0.910388714,1.099518318,1.053870824,0,worse than average
12/04/2013,0.908310352,1.117412739,1.0070258,0,worse than average
13/04/2013,0.928488554,1.118246001,1.015035044,0,worse than average
14/04/2013,0.928218942,1.087366724,0.998435554,0,worse than average
15/04/2013,0.945425741,1.09107246,1.00675046,0,worse than average
16/04/2013,0.946890598,1.092051154,1.016276911,0,worse than average
17/04/2013,0.952432403,1.085284419,0.990361042,0,worse than average
18/04/2013,0.950319716,1.088479829,1.028401764,0,worse than average
19/04/2013,0.961990331,1.089414779,0.989343999,0,worse than average
20/04/2013,0.966630545,1.072018706,1.031995334,0,worse than average
21/04/2013,0.974068207,1.094488625,0.978608939,0,worse than average
22/04/2013,0.965376688,1.100773951,1.035150892,0,worse than average
23/04/2013,0.962123479,1.079737267,1.052879016,0,worse than average
24/04/2013,0.952487314,1.077331284,0.978973306,0,average
25/04/2013,0.952007109,1.064953754,0.931105657,0,average
26/04/2013,0.93248457,1.09899265,1.044778473,0,average
27/04/2013,0.930470248,1.081016641,0.940296968,0,average
28/04/2013,0.934264764,1.108239396,0.988390441,0,average
29/04/2013,0.932208781,1.063508466,0.965782501,0,average
30/04/2013,0.935158617,1.079069516,0.991851153,0,average
01/05/2013,0.933141675,1.077462964,0.948279344,0,average
02/05/2013,0.907202739,1.067862748,0.977225396,0,average
03/05/2013,0.913601064,1.054559451,1.035668875,0,average
04/05/2013,0.913503033,1.089190436,0.955868397,0,average
05/05/2013,0.910952493,1.081119414,0.95129878,0,average
06/05/2013,0.917634025,1.083141499,0.966086146,0,average
07/05/2013,0.922678838,1.080972569,0.979482966,0,average
08/05/2013,0.923845082,1.086017087,0.980292213,0,average
09/05/2013,0.928047761,1.072252627,0.958992844,0,average
10/05/2013,0.930259351,1.105885793,0.95952696,0,average
11/05/2013,0.932333708,1.087290808,1.038466255,0,average
12/05/2013,0.92456444,1.103941557,0.928652245,0,average
13/05/2013,0.920175009,1.113080326,0.947985093,0,average
14/05/2013,0.916564846,1.124870189,0.940818531,0,average
15/05/2013,0.909918764,1.105658956,0.986003127,0,average
16/05/2013,0.899623379,1.110110141,0.982356748,0,average
17/05/2013,0.905680305,1.096108731,1.042835293,0,average
18/05/2013,0.912652569,1.117913771,0.983560632,0,average
19/05/2013,0.903079719,1.117352265,1.025071072,0,average
20/05/2013,0.896226848,1.110202959,0.995402891,0,average
21/05/2013,0.896001578,1.109326126,0.980687286,0,better than average
22/05/2013,0.87800039,1.124353084,1.056522104,0,better than average
23/05/2013,0.878252144,1.116087218,1.022887375,0,better than average
24/05/2013,0.876380662,1.122807739,1.041327225,0,better than average
25/05/2013,0.8818946,1.107592346,0.969622157,0,better than average
26/05/2013,0.884485797,1.120638874,0.980315771,0,better than average
27/05/2013,0.867710879,1.126820474,0.987988217,0,better than average
28/05/2013,0.875895514,1.126883978,1.038111741,0,better than average
29/05/2013,0.870717159,1.129558649,1.014574973,0,better than average
30/05/2013,0.867168908,1.154904411,1.035423393,0,better than average
31/05/2013,0.85478435,1.153010705,0.977486537,0,better than average
01/06/2013,0.857761754,1.166199727,1.006712453,0,better than average
02/06/2013,0.855083779,1.182129076,1.047197475,0,better than average
03/06/2013,0.844348279,1.168961961,0.999764693,0,average
04/06/2013,0.846030419,1.177800118,1.04173311,0,average
05/06/2013,0.852845973,1.175585776,0.970484307,0,average
06/06/2013,0.851618239,1.190471192,0.995476761,0,average
07/06/2013,0.847995546,1.185372468,1.008820958,0,average
08/06/2013,0.841674475,1.167491882,1.016180565,0,average
09/06/2013,0.84567605,1.175602163,1.074677852,0,average
10/06/2013,0.849375224,1.162916202,0.998477654,0,average
11/06/2013,0.850067006,1.150074961,1.011439079,0,average
12/06/2013,0.843436161,1.134381164,1.023372963,0,average
13/06/2013,0.851369167,1.135974672,1.043048191,0,average
14/06/2013,0.863883526,1.12489604,1.064089903,0,average
15/06/2013,0.873983503,1.115411156,0.944226098,0,average
16/06/2013,0.864647997,1.162117246,1.031731294,0,average
17/06/2013,0.86408758,1.136618565,0.996078779,0,average
18/06/2013,0.859228184,1.129587474,1.04131831,0,average
19/06/2013,0.869695511,1.123886439,1.051219993,0,average
20/06/2013,0.867310254,1.115170949,0.982131688,0,average
21/06/2013,0.85780027,1.124516572,1.020049779,0,average
22/06/2013,0.85598666,1.145242982,1.045788938,0,average
23/06/2013,0.838018234,1.137546771,1.033796257,0,average
24/06/2013,0.831361185,1.130875256,1.041265171,0,average
25/06/2013,0.837779612,1.131891348,1.038839902,0,average
26/06/2013,0.837251598,1.138556653,1.036538344,0,average
27/06/2013,0.832393027,1.153789536,1.029844019,0,average
28/06/2013,0.830205713,1.170500016,1.040834003,0,average
29/06/2013,0.831917612,1.140682623,1.032841201,0.44096328,average
30/06/2013,0.818664497,1.164665165,1.030442852,1.740361582,average
01/07/2013,0.82951795,1.152387456,1.009036863,0.703402278,average
02/07/2013,0.845847932,1.139227603,0.921898798,1.565321801,average
03/07/2013,0.842138472,1.154708208,0.929172996,1.489939015,average
04/07/2013,0.834968907,1.167214238,0.961627022,1.090105061,average
05/07/2013,0.838905244,1.167106873,1.029419131,1.176258567,average
06/07/2013,0.831163975,1.163088263,1.010191697,1.316574749,average
07/07/2013,0.826898274,1.147827177,1.046552336,0.876430544,average
08/07/2013,0.822606524,1.133204762,0.953884258,1.162879785,average
09/07/2013,0.813331194,1.148923053,0.996787183,0.957245829,average
10/07/2013,0.800524148,1.137146417,0.97800831,0.892284107,average
11/07/2013,0.809567773,1.126148082,1.015309028,1.209817552,average
12/07/2013,0.825391558,1.119623677,0.999859131,1.995030132,average
13/07/2013,0.839584793,1.117257423,0.992402893,1.374292988,average
14/07/2013,0.850531032,1.122106463,0.979067787,1.378316219,average
